time,v(Vout),v(V1)
0,0.501461269,0.5
1E-12,0.501461269,0.5
2E-12,0.501461269,0.5
4E-12,0.501461269,0.5
8E-12,0.501461269,0.5
1.6E-11,0.501461269,0.5
3.2E-11,0.501461269,0.5
6.4E-11,0.501461269,0.5
1.28E-10,0.501461269,0.5
2.28E-10,0.501461269,0.5
3.28E-10,0.501461269,0.5
4.28E-10,0.501461269,0.5
5.28E-10,0.501461269,0.5
6.28E-10,0.501461269,0.5
7.28E-10,0.501461269,0.5
8.28E-10,0.501461269,0.5
9.28E-10,0.501461269,0.5
1.028E-09,0.501461269,0.5
1.128E-09,0.501461269,0.5
1.228E-09,0.501461269,0.5
1.328E-09,0.501461269,0.5
1.428E-09,0.501461269,0.5
1.528E-09,0.501461269,0.5
1.628E-09,0.501461269,0.5
1.728E-09,0.501461269,0.5
1.828E-09,0.501461269,0.5
1.928E-09,0.501461269,0.5
2.028E-09,0.501461269,0.5
2.128E-09,0.501461269,0.5
2.228E-09,0.501461269,0.5
2.328E-09,0.501461269,0.5
2.428E-09,0.501461269,0.5
2.528E-09,0.501461269,0.5
2.628E-09,0.501461269,0.5
2.728E-09,0.501461269,0.5
2.828E-09,0.501461269,0.5
2.928E-09,0.501461269,0.5
3.028E-09,0.501461269,0.5
3.128E-09,0.501461269,0.5
3.228E-09,0.501461269,0.5
3.328E-09,0.501461269,0.5
3.428E-09,0.501461269,0.5
3.528E-09,0.501461269,0.5
3.628E-09,0.501461269,0.5
3.728E-09,0.501461269,0.5
3.828E-09,0.501461269,0.5
3.928E-09,0.501461269,0.5
4.028E-09,0.501461269,0.5
4.128E-09,0.501461268,0.5
4.228E-09,0.501461268,0.5
4.328E-09,0.501461268,0.5
4.428E-09,0.501461268,0.5
4.528E-09,0.501461268,0.5
4.628E-09,0.501461268,0.5
4.728E-09,0.501461268,0.5
4.828E-09,0.501461268,0.5
4.928E-09,0.501461268,0.5
5.028E-09,0.501461268,0.5
5.128E-09,0.501461268,0.5
5.228E-09,0.501461268,0.5
5.328E-09,0.501461268,0.5
5.428E-09,0.501461268,0.5
5.528E-09,0.501461268,0.5
5.628E-09,0.501461268,0.5
5.728E-09,0.501461268,0.5
5.828E-09,0.501461268,0.5
5.928E-09,0.501461268,0.5
6.028E-09,0.501461268,0.5
6.128E-09,0.501461268,0.5
6.228E-09,0.501461268,0.5
6.328E-09,0.501461268,0.5
6.428E-09,0.501461268,0.5
6.528E-09,0.501461268,0.5
6.628E-09,0.501461268,0.5
6.728E-09,0.501461268,0.5
6.828E-09,0.501461268,0.5
6.928E-09,0.501461268,0.5
7.028E-09,0.501461268,0.5
7.128E-09,0.501461268,0.5
7.228E-09,0.501461268,0.5
7.328E-09,0.501461268,0.5
7.428E-09,0.501461268,0.5
7.528E-09,0.501461268,0.5
7.628E-09,0.501461268,0.5
7.728E-09,0.501461268,0.5
7.828E-09,0.501461268,0.5
7.928E-09,0.501461268,0.5
8.028E-09,0.501461268,0.5
8.128E-09,0.501461268,0.5
8.228E-09,0.501461268,0.5
8.328E-09,0.501461268,0.5
8.428E-09,0.501461268,0.5
8.528E-09,0.501461268,0.5
8.628E-09,0.501461268,0.5
8.728E-09,0.501461268,0.5
8.828E-09,0.501461268,0.5
8.928E-09,0.501461268,0.5
9.028E-09,0.501461268,0.5
9.128E-09,0.501461268,0.5
9.228E-09,0.501461268,0.5
9.328E-09,0.501461268,0.5
9.428E-09,0.501461268,0.5
9.528E-09,0.501461268,0.5
9.628E-09,0.501461268,0.5
9.728E-09,0.501461268,0.5
9.828E-09,0.501461268,0.5
9.928E-09,0.501461268,0.5
1E-08,0.501461268,0.5
1.001E-08,0.501461487,0.5001
1.003E-08,0.50146192,0.5003
1.007E-08,0.501462815,0.5007
1.015E-08,0.501464723,0.5015
1.025E-08,0.50146732,0.5025
1.035E-08,0.501470147,0.5035
1.045E-08,0.501473195,0.5045
