v-sweep,v(Vout),v(V1),v(V2),I(V3)
0,0.9,0,0.5,-5.58568871E-07
0.001,0.9,0.001,0.5,-5.5856869E-07
0.002,0.9,0.002,0.5,-5.58568473E-07
0.003,0.9,0.003,0.5,-5.58568281E-07
0.004,0.9,0.004,0.5,-5.58568072E-07
0.005,0.9,0.005,0.5,-5.58567873E-07
0.006,0.9,0.006,0.5,-5.58567635E-07
0.007,0.9,0.007,0.5,-5.58567454E-07
0.008,0.9,0.008,0.5,-5.58567191E-07
0.009,0.9,0.009,0.5,-5.58566988E-07
0.01,0.9,0.01,0.5,-5.58566754E-07
0.011,0.9,0.011,0.5,-5.58566494E-07
0.012,0.9,0.012,0.5,-5.58566278E-07
0.013,0.9,0.013,0.5,-5.58566029E-07
0.014,0.9,0.014,0.5,-5.58565784E-07
0.015,0.9,0.015,0.5,-5.58565542E-07
0.016,0.9,0.016,0.5,-5.58565269E-07
0.017,0.9,0.017,0.5,-5.58565016E-07
0.018,0.9,0.018,0.5,-5.58564754E-07
0.019,0.9,0.019,0.5,-5.58564462E-07
0.02,0.9,0.02,0.5,-5.58564199E-07
0.021,0.9,0.021,0.5,-5.58563901E-07
0.022,0.9,0.022,0.5,-5.58563602E-07
0.023,0.9,0.023,0.5,-5.58563354E-07
0.024,0.9,0.024,0.5,-5.58563038E-07
0.025,0.9,0.025,0.5,-5.58562729E-07
0.026,0.9,0.026,0.5,-5.58562423E-07
0.027,0.9,0.027,0.5,-5.58562114E-07
0.028,0.9,0.028,0.5,-5.58561776E-07
0.029,0.9,0.029,0.5,-5.58561457E-07
0.03,0.9,0.03,0.5,-5.58561101E-07
0.031,0.9,0.031,0.5,-5.58560746E-07
0.032,0.9,0.032,0.5,-5.58560419E-07
0.033,0.9,0.033,0.5,-5.58560043E-07
0.034,0.9,0.034,0.5,-5.58559694E-07
0.035,0.9,0.035,0.5,-5.58559289E-07
0.036,0.9,0.036,0.5,-5.58558934E-07
0.037,0.9,0.037,0.5,-5.58558543E-07
0.038,0.9,0.038,0.5,-5.58558163E-07
0.039,0.9,0.039,0.5,-5.58557758E-07
0.04,0.9,0.04,0.5,-5.5855736E-07
0.041,0.9,0.041,0.5,-5.58556934E-07
0.042,0.9,0.042,0.5,-5.58556483E-07
0.043,0.9,0.043,0.5,-5.58556053E-07
0.044,0.9,0.044,0.5,-5.58555602E-07
0.045,0.9,0.045,0.5,-5.58555147E-07
0.046,0.9,0.046,0.5,-5.58554692E-07
0.047,0.9,0.047,0.5,-5.58554184E-07
0.048,0.9,0.048,0.5,-5.58553719E-07
0.049,0.9,0.049,0.5,-5.58553221E-07
0.05,0.9,0.05,0.5,-5.58552713E-07
0.051,0.9,0.051,0.5,-5.58552177E-07
0.052,0.9,0.052,0.5,-5.5855168E-07
0.053,0.9,0.053,0.5,-5.58551132E-07
0.054,0.9,0.054,0.5,-5.58550553E-07
0.055,0.9,0.055,0.5,-5.58550003E-07
0.056,0.9,0.056,0.5,-5.5854942E-07
0.057,0.9,0.057,0.5,-5.58548841E-07
0.058,0.9,0.058,0.5,-5.58548212E-07
0.059,0.9,0.059,0.5,-5.58547601E-07
0.06,0.9,0.06,0.5,-5.58546979E-07
0.061,0.9,0.061,0.5,-5.5854634E-07
0.062,0.9,0.062,0.5,-5.58545654E-07
0.063,0.9,0.063,0.5,-5.58545008E-07
0.064,0.9,0.064,0.5,-5.58544301E-07
0.065,0.9,0.065,0.5,-5.58543572E-07
0.066,0.9,0.066,0.5,-5.58542862E-07
0.067,0.9,0.067,0.5,-5.58542119E-07
0.068,0.9,0.068,0.5,-5.58541341E-07
0.069,0.9,0.069,0.5,-5.58540602E-07
0.07,0.9,0.07,0.5,-5.58539799E-07
0.071,0.9,0.071,0.5,-5.58538979E-07
0.072,0.9,0.072,0.5,-5.58538147E-07
0.073,0.9,0.073,0.5,-5.58537288E-07
0.074,0.9,0.074,0.5,-5.58536417E-07
0.075,0.9,0.075,0.5,-5.58535529E-07
0.076,0.9,0.076,0.5,-5.58534627E-07
0.077,0.9,0.077,0.5,-5.58533682E-07
0.078,0.9,0.078,0.5,-5.58532719E-07
0.079,0.9,0.079,0.5,-5.58531745E-07
0.08,0.9,0.08,0.5,-5.58530729E-07
0.081,0.9,0.081,0.5,-5.58529681E-07
0.082,0.9,0.082,0.5,-5.5852863E-07
0.083,0.9,0.083,0.5,-5.5852755E-07
0.084,0.9,0.084,0.5,-5.58526445E-07
0.085,0.9,0.085,0.5,-5.58525283E-07
0.086,0.9,0.086,0.5,-5.58524132E-07
0.087,0.9,0.087,0.5,-5.58522924E-07
0.088,0.9,0.088,0.5,-5.58521698E-07
0.089,0.9,0.089,0.5,-5.58520419E-07
0.09,0.9,0.09,0.5,-5.5851914E-07
0.091,0.9,0.091,0.5,-5.58517819E-07
0.092,0.9,0.092,0.5,-5.58516447E-07
0.093,0.9,0.093,0.5,-5.58515044E-07
0.094,0.9,0.094,0.5,-5.58513605E-07
0.095,0.9,0.095,0.5,-5.58512138E-07
0.096,0.9,0.096,0.5,-5.58510628E-07
0.097,0.9,0.097,0.5,-5.58509065E-07
0.098,0.9,0.098,0.5,-5.58507477E-07
0.099,0.9,0.099,0.5,-5.58505818E-07
0.1,0.9,0.1,0.5,-5.58504166E-07
0.101,0.9,0.101,0.5,-5.58502407E-07
0.102,0.9,0.102,0.5,-5.58500634E-07
0.103,0.9,0.103,0.5,-5.58498808E-07
0.104,0.9,0.104,0.5,-5.58496943E-07
0.105,0.9,0.105,0.5,-5.58494982E-07
0.106,0.9,0.106,0.5,-5.58492999E-07
0.107,0.9,0.107,0.5,-5.58490967E-07
0.108,0.9,0.108,0.5,-5.58488839E-07
0.109,0.9,0.109,0.5,-5.58486686E-07
0.11,0.9,0.11,0.5,-5.58484484E-07
0.111,0.9,0.111,0.5,-5.5848216E-07
0.112,0.9,0.112,0.5,-5.58479829E-07
0.113,0.9,0.113,0.5,-5.5847741E-07
0.114,0.9,0.114,0.5,-5.58474895E-07
0.115,0.9,0.115,0.5,-5.58472347E-07
0.116,0.9,0.116,0.5,-5.58469676E-07
0.117,0.9,0.117,0.5,-5.58466969E-07
0.118,0.9,0.118,0.5,-5.58464144E-07
0.119,0.9,0.119,0.5,-5.58461259E-07
