v-sweep,v(Vout),v(V1),v(V2),v(X1.net8)
0,0.967079876,0,0,1.04897884
0.001,1.38419321,0.001,0,1.04939482
0.002,1.67459836,0.002,0,1.04980654
0.003,1.70741537,0.003,0,1.05021334
0.004,1.72132969,0.004,0,1.05061658
0.005,1.73022886,0.005,0,1.05101634
0.006,1.7363957,0.006,0,1.05141264
0.007,1.74140747,0.007,0,1.0518055
0.008,1.7456094,0.008,0,1.05219491
0.009,1.74918736,0.009,0,1.05258089
0.01,1.75229853,0.01,0,1.05296344
0.011,1.75504932,0.011,0,1.05334256
0.012,1.75751322,0.012,0,1.05371827
0.013,1.75974327,0.013,0,1.05409056
0.014,1.7617791,0.014,0,1.05445944
0.015,1.76365096,0.015,0,1.05482493
0.016,1.76538254,0.016,0,1.05518703
0.017,1.76699264,0.017,0,1.05554574
0.018,1.76849652,0.018,0,1.05590108
0.019,1.76990668,0.019,0,1.05625306
0.02,1.77123347,0.02,0,1.05660168
0.021,1.77248563,0.021,0,1.05694696
0.022,1.77367054,0.022,0,1.0572889
0.023,1.7747945,0.023,0,1.05762753
0.024,1.77586294,0.024,0,1.05796283
0.025,1.77688059,0.025,0,1.05829485
0.026,1.77785158,0.026,0,1.05862358
0.027,1.77877953,0.027,0,1.05894903
0.028,1.77966764,0.028,0,1.05927123
0.029,1.78051872,0.029,0,1.05959017
0.03,1.78133531,0.03,0,1.05990589
0.031,1.7821197,0.031,0,1.06021839
0.032,1.78287389,0.032,0,1.0605277
0.033,1.78359971,0.033,0,1.06083381
0.034,1.78429885,0.034,0,1.06113676
0.035,1.78497278,0.035,0,1.06143656
0.036,1.78562287,0.036,0,1.06173322
0.037,1.78625038,0.037,0,1.06202677
0.038,1.78685645,0.038,0,1.06231722
0.039,1.7874421,0.039,0,1.06260458
0.04,1.78800831,0.04,0,1.06288889
0.041,1.78855593,0.041,0,1.06317016
0.042,1.78908579,0.042,0,1.06344841
0.043,1.78959861,0.043,0,1.06372366
0.044,1.79009509,0.044,0,1.06399593
0.045,1.79057586,0.045,0,1.06426524
0.046,1.79104149,0.046,0,1.06453163
0.047,1.79149253,0.047,0,1.0647951
0.048,1.79192945,0.048,0,1.06505569
0.049,1.79235272,0.049,0,1.06531341
0.05,1.79276275,0.05,0,1.0655683
0.051,1.79315992,0.051,0,1.06582038
0.052,1.79354459,0.052,0,1.06606967
0.053,1.79391705,0.053,0,1.06631621
0.054,1.79427761,0.054,0,1.06656002
0.055,1.79462652,0.055,0,1.06680114
0.056,1.794964,0.056,0,1.06703959
0.057,1.79529026,0.057,0,1.06727541
0.058,1.79560545,0.058,0,1.06750862
0.059,1.79590973,0.059,0,1.06773928
0.06,1.7962032,0.06,0,1.0679674
0.061,1.79648597,0.061,0,1.06819303
0.062,1.79675807,0.062,0,1.06841622
0.063,1.79701953,0.063,0,1.068637
0.064,1.79727036,0.064,0,1.06885543
0.065,1.79751051,0.065,0,1.06907154
0.066,1.79773992,0.066,0,1.0692854
0.067,1.79795848,0.067,0,1.06949705
0.068,1.79816608,0.068,0,1.06970657
0.069,1.79836254,0.069,0,1.069914
0.07,1.79854769,0.07,0,1.07011943
0.071,1.79872133,0.071,0,1.07032293
0.072,1.79888324,0.072,0,1.07052456
0.073,1.79903321,0.073,0,1.07072442
0.074,1.79917104,0.074,0,1.07092259
0.075,1.79929659,0.075,0,1.07111916
0.076,1.79940979,0.076,0,1.07131421
0.077,1.79951065,0.077,0,1.07150784
0.078,1.79959936,0.078,0,1.07170012
0.079,1.79967623,0.079,0,1.07189112
0.08,1.79974182,0.08,0,1.0720809
0.081,1.79979684,0.081,0,1.0722695
0.082,1.79984221,0.082,0,1.07245693
0.083,1.79987896,0.083,0,1.0726432
0.084,1.79990821,0.084,0,1.07282828
0.085,1.79993111,0.085,0,1.07301215
0.086,1.79994877,0.086,0,1.07319478
0.087,1.79996219,0.087,0,1.0733761
0.088,1.79997226,0.088,0,1.07355608
0.089,1.79997973,0.089,0,1.07373468
0.09,1.79998521,0.09,0,1.07391185
0.091,1.79998921,0.091,0,1.07408756
0.092,1.7999921,0.092,0,1.07426179
0.093,1.79999418,0.093,0,1.07443452
0.094,1.79999567,0.094,0,1.07460572
0.095,1.79999672,0.095,0,1.07477539
0.096,1.79999747,0.096,0,1.07494351
0.097,1.79999801,0.097,0,1.07511009
0.098,1.79999838,0.098,0,1.07527511
0.099,1.79999864,0.099,0,1.07543858
0.1,1.79999883,0.1,0,1.0756005
0.101,1.79999896,0.101,0,1.07576087
0.102,1.79999905,0.102,0,1.07591969
0.103,1.79999911,0.103,0,1.07607697
0.104,1.79999916,0.104,0,1.07623271
0.105,1.79999919,0.105,0,1.07638692
0.106,1.79999922,0.106,0,1.07653961
0.107,1.79999923,0.107,0,1.07669078
0.108,1.79999924,0.108,0,1.07684044
0.109,1.79999926,0.109,0,1.0769886
0.11,1.79999926,0.11,0,1.07713527
0.111,1.79999927,0.111,0,1.07728046
0.112,1.79999927,0.112,0,1.07742418
0.113,1.79999927,0.113,0,1.07756643
0.114,1.79999927,0.114,0,1.07770723
0.115,1.79999928,0.115,0,1.07784659
0.116,1.79999928,0.116,0,1.07798452
0.117,1.79999928,0.117,0,1.07812103
0.118,1.79999929,0.118,0,1.07825614
0.119,1.79999929,0.119,0,1.07838985
0.12,1.79999929,0.12,0,1.07852218
0.121,1.79999929,0.121,0,1.07865314
0.122,1.79999929,0.122,0,1.07878273
0.123,1.79999929,0.123,0,1.07891099
0.124,1.79999929,0.124,0,1.07903792
0.125,1.7999993,0.125,0,1.07916353
0.126,1.7999993,0.126,0,1.07928784
0.127,1.7999993,0.127,0,1.07941086
0.128,1.7999993,0.128,0,1.07953261
0.129,1.7999993,0.129,0,1.0796531
0.13,1.7999993,0.13,0,1.07977235
0.131,1.7999993,0.131,0,1.07989036
0.132,1.79999931,0.132,0,1.08000717
0.133,1.79999931,0.133,0,1.08012278
0.134,1.79999931,0.134,0,1.08023721
0.135,1.79999931,0.135,0,1.08035048
0.136,1.79999931,0.136,0,1.08046261
0.137,1.79999931,0.137,0,1.08057362
0.138,1.79999931,0.138,0,1.08068352
0.139,1.79999931,0.139,0,1.08079233
0.14,1.79999931,0.14,0,1.08090009
0.141,1.79999931,0.141,0,1.08100679
0.142,1.79999932,0.142,0,1.08111248
0.143,1.79999932,0.143,0,1.08121716
0.144,1.79999932,0.144,0,1.08132088
0.145,1.79999932,0.145,0,1.08142364
0.146,1.79999932,0.146,0,1.08152549
0.147,1.79999932,0.147,0,1.08162645
0.148,1.79999932,0.148,0,1.08172654
0.149,1.79999932,0.149,0,1.08182581
0.15,1.79999932,0.15,0,1.08192429
0.151,1.79999932,0.151,0,1.08202203
0.152,1.79999933,0.152,0,1.08211905
0.153,1.79999932,0.153,0,1.08221541
0.154,1.79999933,0.154,0,1.08231116
0.155,1.79999933,0.155,0,1.08240635
0.156,1.79999933,0.156,0,1.08250106
0.157,1.79999933,0.157,0,1.08259533
0.158,1.79999933,0.158,0,1.08268926
0.159,1.79999933,0.159,0,1.08278291
0.16,1.79999933,0.16,0,1.0828764
0.161,1.79999933,0.161,0,1.08296982
0.162,1.79999933,0.162,0,1.0830633
0.163,1.79999933,0.163,0,1.08315697
0.164,1.79999933,0.164,0,1.08325098
0.165,1.79999933,0.165,0,1.08334553
0.166,1.79999933,0.166,0,1.0834408
0.167,1.79999934,0.167,0,1.08353702
0.168,1.79999934,0.168,0,1.08363447
0.169,1.79999934,0.169,0,1.08373343
0.17,1.79999934,0.17,0,1.08383427
0.171,1.79999934,0.171,0,1.08393737
0.172,1.79999934,0.172,0,1.08404318
0.173,1.79999934,0.173,0,1.08415218
0.174,1.79999934,0.174,0,1.08426501
0.175,1.79999934,0.175,0,1.08438224
0.176,1.79999934,0.176,0,1.08450464
0.177,1.79999934,0.177,0,1.08463297
0.178,1.79999934,0.178,0,1.08476807
0.179,1.79999934,0.179,0,1.08491083
0.18,1.79999934,0.18,0,1.08506219
0.181,1.79999934,0.181,0,1.08522307
0.182,1.79999934,0.182,0,1.08539438
0.183,1.79999934,0.183,0,1.08557698
0.184,1.79999935,0.184,0,1.08577165
0.185,1.79999934,0.185,0,1.08597897
0.186,1.79999935,0.186,0,1.08619945
0.187,1.79999935,0.187,0,1.08643337
0.188,1.79999935,0.188,0,1.08668084
0.189,1.79999935,0.189,0,1.08694186
0.19,1.79999935,0.19,0,1.08721615
0.191,1.79999935,0.191,0,1.0875034
0.192,1.79999935,0.192,0,1.08780314
0.193,1.79999935,0.193,0,1.08811483
0.194,1.79999935,0.194,0,1.08843787
0.195,1.79999935,0.195,0,1.08877162
0.196,1.79999935,0.196,0,1.08911546
0.197,1.79999935,0.197,0,1.08946868
0.198,1.79999935,0.198,0,1.08983073
0.199,1.79999935,0.199,0,1.09020099
0.2,1.79999935,0.2,0,1.09057891
0.201,1.79999935,0.201,0,1.09096386
0.202,1.79999935,0.202,0,1.09135539
0.203,1.79999935,0.203,0,1.09175305
0.204,1.79999935,0.204,0,1.09215635
0.205,1.79999935,0.205,0,1.09256485
0.206,1.79999935,0.206,0,1.09297823
0.207,1.79999935,0.207,0,1.09339607
0.208,1.79999935,0.208,0,1.09381811
0.209,1.79999935,0.209,0,1.09424405
