 v-sweep         v(Y)            v(S)            v(A)            v(B)           
 0.00000000e+00  3.38351093e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-02  3.38887886e-09  0.00000000e+00  1.00000000e-02  0.00000000e+00 
 2.00000000e-02  3.39193048e-09  0.00000000e+00  2.00000000e-02  0.00000000e+00 
 3.00000000e-02  3.39461916e-09  0.00000000e+00  3.00000000e-02  0.00000000e+00 
 4.00000000e-02  3.39655916e-09  0.00000000e+00  4.00000000e-02  0.00000000e+00 
 5.00000000e-02  3.39797995e-09  0.00000000e+00  5.00000000e-02  0.00000000e+00 
 6.00000000e-02  3.39907510e-09  0.00000000e+00  6.00000000e-02  0.00000000e+00 
 7.00000000e-02  3.39997776e-09  0.00000000e+00  7.00000000e-02  0.00000000e+00 
 8.00000000e-02  3.40076840e-09  0.00000000e+00  8.00000000e-02  0.00000000e+00 
 9.00000000e-02  3.40149297e-09  0.00000000e+00  9.00000000e-02  0.00000000e+00 
 1.00000000e-01  3.40217752e-09  0.00000000e+00  1.00000000e-01  0.00000000e+00 
 1.10000000e-01  3.40283747e-09  0.00000000e+00  1.10000000e-01  0.00000000e+00 
 1.20000000e-01  3.40348197e-09  0.00000000e+00  1.20000000e-01  0.00000000e+00 
 1.30000000e-01  3.40411683e-09  0.00000000e+00  1.30000000e-01  0.00000000e+00 
 1.40000000e-01  3.40474594e-09  0.00000000e+00  1.40000000e-01  0.00000000e+00 
 1.50000000e-01  3.40537191e-09  0.00000000e+00  1.50000000e-01  0.00000000e+00 
 1.60000000e-01  3.40599641e-09  0.00000000e+00  1.60000000e-01  0.00000000e+00 
 1.70000000e-01  3.40662076e-09  0.00000000e+00  1.70000000e-01  0.00000000e+00 
 1.80000000e-01  3.40724609e-09  0.00000000e+00  1.80000000e-01  0.00000000e+00 
 1.90000000e-01  3.40787290e-09  0.00000000e+00  1.90000000e-01  0.00000000e+00 
 2.00000000e-01  3.40850188e-09  0.00000000e+00  2.00000000e-01  0.00000000e+00 
 2.10000000e-01  3.40913347e-09  0.00000000e+00  2.10000000e-01  0.00000000e+00 
 2.20000000e-01  3.40976805e-09  0.00000000e+00  2.20000000e-01  0.00000000e+00 
 2.30000000e-01  3.41040583e-09  0.00000000e+00  2.30000000e-01  0.00000000e+00 
 2.40000000e-01  3.41104718e-09  0.00000000e+00  2.40000000e-01  0.00000000e+00 
 2.50000000e-01  3.41169210e-09  0.00000000e+00  2.50000000e-01  0.00000000e+00 
 2.60000000e-01  3.41234095e-09  0.00000000e+00  2.60000000e-01  0.00000000e+00 
 2.70000000e-01  3.41299376e-09  0.00000000e+00  2.70000000e-01  0.00000000e+00 
 2.80000000e-01  3.41365069e-09  0.00000000e+00  2.80000000e-01  0.00000000e+00 
 2.90000000e-01  3.41431193e-09  0.00000000e+00  2.90000000e-01  0.00000000e+00 
 3.00000000e-01  3.41497745e-09  0.00000000e+00  3.00000000e-01  0.00000000e+00 
 3.10000000e-01  3.41564751e-09  0.00000000e+00  3.10000000e-01  0.00000000e+00 
 3.20000000e-01  3.41632203e-09  0.00000000e+00  3.20000000e-01  0.00000000e+00 
 3.30000000e-01  3.41700113e-09  0.00000000e+00  3.30000000e-01  0.00000000e+00 
 3.40000000e-01  3.41768487e-09  0.00000000e+00  3.40000000e-01  0.00000000e+00 
 3.50000000e-01  3.41837343e-09  0.00000000e+00  3.50000000e-01  0.00000000e+00 
 3.60000000e-01  3.41906671e-09  0.00000000e+00  3.60000000e-01  0.00000000e+00 
 3.70000000e-01  3.41976480e-09  0.00000000e+00  3.70000000e-01  0.00000000e+00 
 3.80000000e-01  3.42046789e-09  0.00000000e+00  3.80000000e-01  0.00000000e+00 
 3.90000000e-01  3.42117588e-09  0.00000000e+00  3.90000000e-01  0.00000000e+00 
 4.00000000e-01  3.42188879e-09  0.00000000e+00  4.00000000e-01  0.00000000e+00 
 4.10000000e-01  3.42260682e-09  0.00000000e+00  4.10000000e-01  0.00000000e+00 
 4.20000000e-01  3.42332983e-09  0.00000000e+00  4.20000000e-01  0.00000000e+00 
 4.30000000e-01  3.42405805e-09  0.00000000e+00  4.30000000e-01  0.00000000e+00 
